0,1,2,3,4,5,6,7,8,9
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
326,"April 23, 202422:17[94]",F9 B5B1078‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-53 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[95]",,,,,,,,,
327,"April 28, 202400:34[96]",F9 B5B1060‑20,"Kennedy, LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)",MEO,ESA,Success,No attempt
"First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.",,,,,,,,,
328,"April 28, 202422:08[97]",F9 B5B1076‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-54 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,,,,,,,,,
329,"May 2, 202418:36[98]",F9 B5B1061‑20,"Vandenberg, SLC‑4E",WorldView Legion 1 & 2,"1,500 kg (3,300 lb)",SSO,Maxar Technologies,Success,Success (LZ‑4)
"Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[99] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
330,"May 3, 202402:37[100]",F9 B5B1067‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-55 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,,,,,,,,,
331,"May 6, 202418:14[101]",F9 B5B1069‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-57 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
332,"May 8, 202418:42[102]",F9 B5B1083‑3,"Kennedy, LC‑39A",Starlink: Group 6-56 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
333,"May 10, 202404:30[103]",F9 B5B1082‑4,"Vandenberg, SLC‑4E",Starlink: Group 8-2 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
